,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Johnny Hector 7 yard rush (Pat Leahy kick),0,7
1,2.0,Patriots,Irving Fryar 24 yard pass from Marc Wilson (Jason Staurovsky kick),7,7
2,2.0,Jets,Rob Moore 2 yard pass from Ken O'Brien (Pat Leahy kick),7,14
3,2.0,Jets,Freeman McNeil 9 yard rush (Pat Leahy kick),7,21
4,3.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),7,28
5,3.0,Jets,Blair Thomas 6 yard pass from Ken O'Brien (Pat Leahy kick),7,35
6,4.0,Jets,Troy Taylor 5 yard rush (Pat Leahy kick),7,42
