,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Danny Villanueva 17 yard field goal,3,0
1,2.0,Cardinals,Bobby Joe Conrad 1 yard pass from Charley Johnson (Jim Bakken kick),3,7
2,4.0,Cowboys,Dan Reeves 4 yard rush (Danny Villanueva kick),10,7
3,4.0,Cardinals,Jim Bakken 27 yard field goal,10,10
