,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,11:20,Jaguars,Kyle Brady 7 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,1.0,5:30,Titans,Yancey Thigpen 9 yard pass from Steve McNair (Al Del Greco kick),7,7
2,2.0,4:36,Jaguars,James Stewart 33 yard rush (Mike Hollis kick),7,14
3,2.0,0:20,Titans,Al Del Greco 34 yard field goal,10,14
4,3.0,9:24,Titans,Steve McNair 1 yard rush (Al Del Greco kick),17,14
5,3.0,5:13,Titans,"Safety, Evans sacked Brunell in end zone",19,14
6,3.0,4:56,Titans,Derrick Mason 80 yard kickoff return (Al Del Greco kick),26,14
7,4.0,6:59,Titans,Steve McNair 1 yard rush (Al Del Greco kick),33,14
