,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Lem Barney 24 yard interception return (Wayne Walker kick),7,0
1,1.0,Lions,Wayne Walker 47 yard field goal,10,0
2,2.0,Lions,Amos Marsh 3 yard rush (Wayne Walker kick),17,0
3,3.0,Packers,Elijah Pitts 3 yard rush (Don Chandler kick),17,7
4,4.0,Packers,Elijah Pitts 2 yard rush (Don Chandler kick),17,14
5,4.0,Packers,Don Chandler 28 yard field goal,17,17
