,Quarter,Tm,Detail,NYG,BOS
0,1.0,Yanks,Augie Lio 47 yard field goal,0,3
1,2.0,Giants,Howie Livingston 38 yard rush (Ken Strong kick),7,3
2,2.0,Giants,Ken Strong 36 yard field goal,10,3
3,3.0,Giants,"Safety, Cafego tackled in end zone",12,3
4,3.0,Yanks,John Morelli 40 yard fumble return (Augie Lio kick),12,10
5,3.0,Giants,Victor Carroll 28 yard blocked punt return (Ken Strong kick),19,10
6,3.0,Giants,Ken Strong 16 yard field goal,22,10
