,Quarter,Time,Tm,Detail,PIT,TEN
0,1.0,,Oilers,Al Del Greco 46 yard field goal,0,3
1,2.0,,Steelers,Mark Bruener 10 yard pass from Kordell Stewart (Matt George kick),7,3
2,2.0,,Oilers,Willie Davis 25 yard pass from Steve McNair (Al Del Greco kick),7,10
3,2.0,,Steelers,Chris Fuamatu-Ma'afala 26 yard pass from Kordell Stewart (Matt George kick),14,10
4,2.0,,Oilers,Al Del Greco 24 yard field goal,14,13
5,4.0,0:06,Oilers,Al Del Greco 22 yard field goal,14,16
6,4.0,0:06,Oilers,Michael Roan fumble recovery in end zone (Al Del Greco kick),14,23
