,Quarter,Tm,Detail,ATL,MIA
0,2.0,Dolphins,Benny Malone 4 yard rush (Garo Yepremian kick),0,7
1,2.0,Dolphins,Paul Warfield 4 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,2.0,Falcons,Dave Hampton 2 yard rush (Nick Mike-Mayer kick),7,14
3,3.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),7,21
4,3.0,Dolphins,Jim Mandich 18 yard pass from Bob Griese (Garo Yepremian kick),7,28
5,3.0,Dolphins,Don Nottingham 2 yard rush (Garo Yepremian kick),7,35
6,4.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),7,42
