,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Tony Dorsett 6 yard rush (Rafael Septien kick),7,0
1,2.0,Cowboys,Rafael Septien 19 yard field goal,10,0
2,4.0,Redskins,Mark Moseley 45 yard field goal,10,3
3,4.0,Cowboys,Ron Springs 4 yard rush (Rafael Septien kick),17,3
