,Quarter,Tm,Detail,MIA,PIT
0,2,Steelers,Franco Harris 21 yard rush (Roy Gerela kick),0,7
1,3,Dolphins,Garo Yepremian 45 yard field goal,3,7
2,4,Steelers,Reggie Harrison 1 yard rush (Roy Gerela kick),3,14
