,Quarter,Time,Tm,Detail,HOU,KAN
0,1.0,5:02,Texans,David Johnson 19 yard rush (Ka'imi Fairbairn kick),7,0
1,2.0,14:17,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),7,7
2,2.0,2:30,Chiefs,Sammy Watkins 2 yard pass from Patrick Mahomes (Harrison Butker kick),7,14
3,2.0,0:04,Chiefs,Harrison Butker 29 yard field goal,7,17
4,3.0,11:01,Chiefs,Clyde Edwards-Helaire 27 yard rush (Harrison Butker kick),7,24
5,4.0,11:30,Chiefs,Tyreek Hill 3 yard pass from Patrick Mahomes (Harrison Butker kick),7,31
6,4.0,7:21,Texans,Jordan Akins 19 yard pass from Deshaun Watson (pass failed),13,31
7,4.0,2:43,Texans,Deshaun Watson 1 yard rush (Ka'imi Fairbairn kick),20,31
8,4.0,0:33,Chiefs,Harrison Butker 19 yard field goal,20,34
