,Quarter,Time,Tm,Detail,MIA,PIT
0,1,,Steelers,Gary Anderson 19 yard field goal,0,3
1,2,,Dolphins,Keith Jackson 2 yard pass from Dan Marino (Pete Stoyanovich kick),7,3
2,2,,Steelers,Gary Anderson 48 yard field goal,7,6
3,3,,Dolphins,Pete Stoyanovich 34 yard field goal,10,6
4,4,,Steelers,Barry Foster 10 yard rush (Gary Anderson kick),10,13
5,4,,Dolphins,Pete Stoyanovich 48 yard field goal,13,13
6,OT,,Steelers,Gary Anderson 39 yard field goal,13,16
