,Quarter,Tm,Detail,BUF,KAN
0,1.0,Chiefs,Ted McKnight 17 yard rush (Jan Stenerud kick),0,7
1,2.0,Bills,Frank Lewis 40 yard pass from Joe Ferguson (Tom Dempsey kick),7,7
2,3.0,Bills,Tom Dempsey 22 yard field goal,10,7
3,3.0,Chiefs,Walter White 3 yard pass from Mike Livingston (Jan Stenerud kick),10,14
