,Quarter,Tm,Detail,CHI,DAL
0,1.0,Cowboys,Rafael Septien 41 yard field goal,0,3
1,2.0,Bears,John Roveto 43 yard field goal,3,3
2,4.0,Bears,Vince Evans 2 yard rush,9,3
3,4.0,Cowboys,Ron Springs 6 yard rush (Rafael Septien kick),9,10
