,Quarter,Tm,Detail,KAN,CIN
0,1.0,Chiefs,Jan Stenerud 16 yard field goal,3,0
1,1.0,Chiefs,Jan Stenerud 41 yard field goal,6,0
2,1.0,Bengals,Eric Crabtree 17 yard pass from Greg Cook (Horst Muhlmann kick),6,7
3,2.0,Chiefs,Gloster Richardson 11 yard pass from Jacky Lee (Jan Stenerud kick),13,7
4,2.0,Bengals,Horst Muhlmann 38 yard field goal,13,10
5,4.0,Bengals,Bob Trumpy 80 yard pass from Sam Wyche (Horst Muhlmann kick),13,17
6,4.0,Bengals,Jess Phillips 10 yard rush (Horst Muhlmann kick),13,24
7,4.0,Chiefs,Wendell Hayes 10 yard rush,19,24
