,Quarter,Tm,Detail,MIL,CRD
0,2.0,Cardinals,Red Dunn unknown yard rush (Red Dunn kick),0,7
1,2.0,Cardinals,Red Dunn unknown yard rush (Red Dunn kick),0,14
2,3.0,Cardinals,Hal Erickson unknown yard pass from Red Dunn (Red Dunn kick),0,21
3,4.0,Cardinals,Paddy Driscoll 35 yard field goal,0,24
4,4.0,Cardinals,Paddy Driscoll unknown yard rush (Paddy Driscoll kick),0,31
5,4.0,Cardinals,Paddy Driscoll 25 yard field goal,0,34
