,Quarter,Tm,Detail,KAN,HOU
0,3.0,Oilers,Ronnie Coleman 1 yard rush (Skip Butler kick),0,7
1,3.0,Chiefs,Jan Stenerud 35 yard field goal,3,7
2,4.0,Chiefs,Willie Ellison 8 yard rush (Jan Stenerud kick),10,7
3,4.0,Chiefs,Morris Stroud 8 yard pass from Mike Livingston (Jan Stenerud kick),17,7
