,Quarter,Tm,Detail,PIT,NOR
0,1.0,Steelers,Earl Gros 8 yard rush (Gene Mingo kick),7,0
1,1.0,Steelers,Earl Gros 16 yard rush (Gene Mingo kick),14,0
2,2.0,Saints,Ray Poage 3 yard pass from Billy Kilmer (Tom Dempsey kick),14,7
3,2.0,Saints,Tom Dempsey 38 yard field goal,14,10
4,3.0,Saints,Ray Poage 13 yard pass from Billy Kilmer (Tom Dempsey kick),14,17
5,3.0,Steelers,Earl Gros 7 yard rush (Gene Mingo kick),21,17
6,4.0,Steelers,Gene Mingo 11 yard field goal,24,17
7,4.0,Saints,Tom Dempsey 40 yard field goal,24,20
8,4.0,Saints,Andy Livingston 3 yard rush (Tom Dempsey kick),24,27
