,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,,Redskins,Cary Blanchard 34 yard field goal,3,0
1,2.0,,Redskins,Skip Hicks 2 yard rush (Cary Blanchard kick),10,0
2,2.0,,Cardinals,Mario Bates 1 yard rush (Joe Nedney kick),10,7
3,2.0,0:42,Redskins,Brian Mitchell 6 yard rush (Cary Blanchard kick),17,7
4,3.0,0:42,Cardinals,Larry Centers 4 yard pass from Jake Plummer (Joe Nedney kick),17,14
5,4.0,0:42,Cardinals,Mario Bates 1 yard rush (Joe Nedney kick),17,21
6,4.0,0:42,Cardinals,"Safety, Turk missed snap and ball went out of end zone",17,23
7,4.0,0:42,Cardinals,Joe Nedney 26 yard field goal,17,26
8,4.0,1:45,Redskins,Leslie Shepherd 35 yard pass from Trent Green (Cary Blanchard kick),24,26
9,4.0,0:37,Redskins,Cary Blanchard 54 yard field goal,27,26
10,4.0,0:08,Cardinals,Joe Nedney 47 yard field goal,27,29
