,Quarter,Time,Tm,Detail,NWE,WAS
0,1.0,9:39,Redskins,Steven Sims 65 yard rush (Dustin Hopkins kick),0,7
1,1.0,7:13,Patriots,Julian Edelman 6 yard pass from Tom Brady (Mike Nugent kick failed),6,7
2,2.0,10:39,Patriots,Mike Nugent 37 yard field goal,9,7
3,2.0,0:34,Patriots,Mike Nugent 23 yard field goal,12,7
4,3.0,11:04,Patriots,Brandon Bolden 29 yard pass from Tom Brady (Mike Nugent kick),19,7
5,3.0,4:42,Patriots,Sony Michel 14 yard rush (Mike Nugent kick),26,7
6,4.0,9:19,Patriots,Ryan Izzo 10 yard pass from Tom Brady (Mike Nugent kick),33,7
