,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Eric Martin 5 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Rams,Tony Zendejas 30 yard field goal,3,7
2,2.0,Saints,Morten Andersen 26 yard field goal,3,10
3,3.0,Rams,Cleveland Gary 1 yard rush (Tony Zendejas kick),10,10
4,4.0,Saints,Morten Andersen 30 yard field goal,10,13
