,Quarter,Time,Tm,Detail,TAM,OAK
0,1.0,11:01,Buccaneers,Martin Gramatica 36 yard field goal,3,0
1,1.0,5:36,Raiders,Sebastian Janikowski 23 yard field goal,3,3
2,2.0,11:48,Raiders,Sebastian Janikowski 40 yard field goal,3,6
3,2.0,9:53,Buccaneers,Martin Gramatica 30 yard field goal,6,6
4,2.0,1:16,Raiders,Ronald Curry 19 yard pass from Kerry Collins (Sebastian Janikowski kick),6,13
5,3.0,11:05,Raiders,Sebastian Janikowski 39 yard field goal,6,16
6,3.0,9:48,Raiders,Phillip Buchanon 32 yard interception return (Sebastian Janikowski kick),6,23
7,3.0,3:42,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),6,30
8,4.0,10:45,Buccaneers,Tim Brown 16 yard pass from Brad Johnson (pass failed),12,30
9,4.0,1:52,Buccaneers,Bill Schroeder 41 yard pass from Brad Johnson (Ken Dilger pass from Brad Johnson ),20,30
