,Quarter,Tm,Detail,DEN,NYJ
0,1.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),0,7
1,1.0,Jets,Pat Leahy 27 yard field goal,0,10
2,2.0,Jets,Pat Leahy 25 yard field goal,0,13
3,2.0,Jets,Wesley Walker 23 yard pass from Ken O'Brien (Pat Leahy kick),0,20
4,2.0,Jets,"Safety, Humphery tackled Elway in end zone",0,22
5,3.0,Broncos,Rich Karlis 47 yard field goal,3,22
6,4.0,Broncos,Sammy Winder 20 yard pass from Gary Kubiak (Rich Karlis kick),10,22
