,Quarter,Tm,Detail,ATL,RAM
0,1.0,Falcons,Stacey Bailey 25 yard pass from Steve Bartkowski (Mick Luckhurst kick),7,0
1,2.0,Falcons,Floyd Hodge 1 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,0
2,2.0,Rams,Eric Dickerson 1 yard rush (Chuck Nelson kick),14,7
3,3.0,Falcons,Gerald Riggs 6 yard rush (Mick Luckhurst kick),21,7
4,3.0,Rams,Preston Dennard 10 yard pass from Vince Ferragamo (Chuck Nelson kick),21,14
5,4.0,Rams,Eric Dickerson 1 yard rush (Chuck Nelson kick),21,21
6,4.0,Rams,Mike Guman 2 yard pass from Vince Ferragamo,21,27
