,Quarter,Time,Tm,Detail,OAK,STL
0,1.0,12:04,Rams,Tre Mason 35 yard pass from Shaun Hill (Greg Zuerlein kick),0,7
1,1.0,7:12,Rams,Shaun Hill 2 yard rush (Greg Zuerlein kick),0,14
2,1.0,2:37,Rams,Tavon Austin 18 yard rush (Greg Zuerlein kick),0,21
3,2.0,11:14,Rams,Tre Mason 89 yard rush (Greg Zuerlein kick),0,28
4,2.0,8:10,Rams,Cory Harkey 4 yard pass from Shaun Hill (Greg Zuerlein kick),0,35
5,2.0,5:27,Rams,Greg Zuerlein 38 yard field goal,0,38
6,4.0,12:47,Rams,Tre Mason 8 yard rush (Greg Zuerlein kick),0,45
7,4.0,5:24,Rams,Trumaine Johnson 43 yard interception return (Greg Zuerlein kick),0,52
