,Quarter,Tm,Detail,DET,RAM
0,2.0,Lions,Bob Thomas 45 yard field goal,3,0
1,2.0,Lions,Bob Thomas 46 yard field goal,6,0
2,2.0,Lions,Bob Thomas 30 yard field goal,9,0
3,3.0,Lions,David Hill 2 yard pass from Gary Danielson (Bob Thomas kick),16,0
4,4.0,Rams,Mike Guman 1 yard rush (Mike Lansford kick),16,7
5,4.0,Lions,Bob Thomas 33 yard field goal,19,7
6,4.0,Rams,Willie Miller 85 yard pass from Vince Ferragamo (Mike Lansford kick),19,14
