,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Dick Poillon 32 yard field goal,0,3
1,1.0,Lions,Camp Wilson 2 yard rush (Merv Pregulman kick),7,3
2,2.0,Lions,Joe Margucci 2 yard rush (Merv Pregulman kick),14,3
3,3.0,Redskins,Dick Todd 6 yard pass from Sammy Baugh (Dick Poillon kick),14,10
4,3.0,Redskins,Ed Quirk 1 yard rush (Dick Poillon kick),14,17
5,3.0,Redskins,"Safety, Dudley tackled in end zone by Koniszewski",14,19
6,4.0,Lions,Bill Dudley 13 yard pass from Fred Enke (Merv Pregulman kick),21,19
7,4.0,Redskins,Ed Quirk 4 yard rush (Dick Poillon kick),21,26
8,4.0,Redskins,Dick Todd 12 yard pass from Sammy Baugh (Dick Poillon kick),21,33
9,4.0,Redskins,Tom Farmer 46 yard pass from Sammy Baugh,21,39
10,4.0,Redskins,Bob Nussbaumer 6 yard pass from Sammy Baugh (Jim Peebles kick),21,46
