,Quarter,Tm,Detail,MIN,GNB
0,1,Vikings,Sammy White 13 yard pass from Steve Dils (Benny Ricardo kick),7,0
1,2,Vikings,Benny Ricardo 44 yard field goal,10,0
2,2,Packers,Jan Stenerud 48 yard field goal,10,3
3,3,Vikings,Ted Brown 1 yard rush (Benny Ricardo kick),17,3
4,4,Packers,John Jefferson 5 yard pass from Lynn Dickey (Jan Stenerud kick),17,10
5,4,Packers,Mike Meade 4 yard pass from Lynn Dickey (Jan Stenerud kick),17,17
6,OT,Vikings,Benny Ricardo 32 yard field goal,20,17
