,Quarter,Tm,Detail,BUF,NWE
0,1.0,Bills,Preston Dennard 68 yard pass from Joe Ferguson (Chuck Nelson kick),7,0
1,2.0,Patriots,Cedric Jones 17 yard pass from Tony Eason (Tony Franklin kick),7,7
2,2.0,Patriots,Tony Franklin 21 yard field goal,7,10
3,3.0,Bills,Chuck Nelson 34 yard field goal,10,10
4,3.0,Patriots,Tony Collins 1 yard rush (Tony Franklin kick),10,17
5,3.0,Patriots,Tony Collins 1 yard rush (Tony Franklin kick),10,24
6,4.0,Patriots,Stanley Morgan 24 yard pass from Tony Eason (Tony Franklin kick),10,31
7,4.0,Patriots,Cedric Jones 7 yard pass from Tony Eason (Tony Franklin kick),10,38
