,Quarter,Tm,Detail,CHI,WAS
0,1.0,Redskins,Mark Moseley 25 yard field goal,0,3
1,2.0,Bears,Bob Thomas 34 yard field goal,3,3
2,2.0,Bears,Pat Dunsmore 19 yard pass from Walter Payton (Bob Thomas kick),10,3
3,3.0,Bears,Willie Gault 75 yard pass from Steve Fuller,16,3
4,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),16,10
5,3.0,Bears,Dennis McKinnon 16 yard pass from Steve Fuller (Bob Thomas kick),23,10
6,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),23,17
7,4.0,Redskins,"Safety, Finzer stepped out of end zone",23,19
