,Quarter,Tm,Detail,DEN,BUF
0,1.0,Broncos,Bobby Humphrey 1 yard rush (David Treadwell kick),7,0
1,2.0,Broncos,Steve Sewell 3 yard rush (David Treadwell kick),14,0
2,2.0,Bills,Scott Norwood 37 yard field goal,14,3
3,3.0,Bills,Don Smith 12 yard rush,14,9
4,3.0,Broncos,Sammy Winder 3 yard rush (David Treadwell kick),21,9
5,4.0,Bills,Cornelius Bennett 80 yard blocked field goal return (Scott Norwood kick),21,16
6,4.0,Bills,Leonard Smith 39 yard interception return,21,22
7,4.0,Bills,Kenneth Davis 2 yard rush (Scott Norwood kick),21,29
8,4.0,Broncos,Ricky Nattiel 7 yard pass from John Elway (David Treadwell kick),28,29
