,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Roy Gerela 20 yard field goal,3,0
1,2.0,Oilers,Mack Alston 7 yard pass from Dan Pastorini (Skip Butler kick),3,7
2,2.0,Steelers,Roy Gerela 47 yard field goal,6,7
3,3.0,Steelers,Terry Bradshaw 1 yard rush,12,7
4,3.0,Steelers,Andy Russell 45 yard interception return (Roy Gerela kick),19,7
5,4.0,Steelers,Ron Shanklin 26 yard pass from Terry Bradshaw (Roy Gerela kick),26,7
6,4.0,Steelers,Roy Gerela 26 yard field goal,29,7
7,4.0,Steelers,Glen Edwards 86 yard interception return (Roy Gerela kick),36,7
