,Quarter,Time,Tm,Detail,CLE,CIN
0,1,,Bengals,Harold Green 1 yard pass from Jeff Blake (pass failed),0,6
1,1,,Browns,Matt Stover 44 yard field goal,3,6
2,2,,Browns,Matt Stover 25 yard field goal,6,6
3,2,,Bengals,Doug Pelfrey 37 yard field goal,6,9
4,2,,Browns,Matt Stover 36 yard field goal,9,9
5,3,,Browns,Matt Stover 38 yard field goal,12,9
6,3,,Bengals,Carl Pickens 8 yard pass from Jeff Blake (Doug Pelfrey kick),12,16
7,4,,Browns,Andre Rison 17 yard pass from Eric Zeier (Matt Stover kick),19,16
8,4,,Browns,Earnest Byner 3 yard rush (Matt Stover kick),26,16
9,4,,Bengals,Doug Pelfrey 41 yard field goal,26,19
10,4,,Bengals,Carl Pickens 1 yard pass from David Klingler (Doug Pelfrey kick),26,26
11,OT,,Browns,Matt Stover 28 yard field goal,29,26
