,Quarter,Tm,Detail,BKN,GNB
0,1.0,Packers,Don Hutson 24 yard pass from Irv Comp (Don Hutson kick),0,7
1,3.0,Tigers,Pug Manders 1 yard rush (Bruiser Kinard kick),7,7
2,3.0,Packers,Lou Brock 17 yard rush (Don Hutson kick),7,14
