,Quarter,Time,Tm,Detail,TAM,JAX
0,1.0,2:54,Buccaneers,Peyton Barber 15 yard rush (Matt Gay kick),7,0
1,1.0,2:46,Buccaneers,Devin White 14 yard fumble return (Peyton Barber run),15,0
2,2.0,8:02,Buccaneers,Peyton Barber 1 yard rush (Matt Gay kick),22,0
3,2.0,1:00,Buccaneers,Matt Gay 25 yard field goal,25,0
4,3.0,5:51,Jaguars,Josh Lambo 53 yard field goal,25,3
5,4.0,13:41,Jaguars,Dede Westbrook 3 yard pass from Gardner Minshew II (Dede Westbrook pass from Gardner Minshew II),25,11
6,4.0,2:23,Buccaneers,Matt Gay 37 yard field goal,28,11
