,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,Rolf Benirschke 25 yard field goal,3,0
1,2.0,Broncos,Rich Karlis 44 yard field goal,3,3
2,2.0,Chargers,Rolf Benirschke 48 yard field goal,6,3
3,4.0,Chargers,Rolf Benirschke 21 yard field goal,9,3
