,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Dave Parks 83 yard pass from John Brodie (Tommy Davis kick),7,0
1,1.0,Rams,Marlin McKeever 6 yard pass from Roman Gabriel (Bruce Gossett kick),7,7
2,2.0,Rams,Bucky Pope 48 yard pass from Roman Gabriel (Bruce Gossett kick),7,14
3,2.0,Rams,Bucky Pope 68 yard pass from Roman Gabriel (Bruce Gossett kick),7,21
4,2.0,Rams,Bucky Pope 18 yard pass from Roman Gabriel (Bruce Gossett kick),7,28
5,4.0,49ers,Dave Kopay 4 yard pass from George Mira (Tommy Davis kick),14,28
6,4.0,Rams,Bobby Smith 97 yard interception return (Bruce Gossett kick),14,35
7,4.0,Rams,Aaron Martin 71 yard interception return (Bruce Gossett kick),14,42
