,Quarter,Tm,Detail,SDG,GNB
0,1.0,Chargers,Bobby Duckworth 27 yard pass from Dan Fouts (Rolf Benirschke kick),7,0
1,1.0,Packers,Paul Coffman 3 yard pass from Lynn Dickey (Eddie Garcia kick),7,7
2,2.0,Chargers,Pete Holohan 3 yard pass from Dan Fouts (Rolf Benirschke kick),14,7
3,2.0,Packers,Ed West 29 yard pass from Lynn Dickey (Eddie Garcia kick),14,14
4,3.0,Chargers,Earnest Jackson 9 yard pass from Dan Fouts (Rolf Benirschke kick),21,14
5,3.0,Packers,Gerry Ellis 4 yard rush (Eddie Garcia kick),21,21
6,3.0,Chargers,Rolf Benirschke 31 yard field goal,24,21
7,4.0,Chargers,Earnest Jackson 1 yard rush (Rolf Benirschke kick),31,21
8,4.0,Packers,James Lofton 25 yard pass from Lynn Dickey (Eddie Garcia kick),31,28
9,4.0,Chargers,Rolf Benirschke 39 yard field goal,34,28
