,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Ralph Kurek 3 yard rush (Roger LeClerc kick),0,7
1,1.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),7,7
2,2.0,Bears,Roger LeClerc 19 yard field goal,7,10
3,2.0,49ers,Tommy Davis 13 yard field goal,10,10
4,3.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),17,10
5,4.0,Bears,Gale Sayers 43 yard pass from Rudy Bukich (Roger LeClerc kick),17,17
6,4.0,Bears,Jim Jones 32 yard pass from Rudy Bukich (Roger LeClerc kick),17,24
7,4.0,49ers,Tommy Davis 17 yard field goal,20,24
8,4.0,Bears,Ed O'Bradovich 11 yard defensive fumble return,20,30
9,4.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),27,30
10,4.0,49ers,Tommy Davis 44 yard field goal,30,30
