,Quarter,Tm,Detail,MIN,NOR
0,1.0,Saints,Bo Burris 94 yard interception return (Charlie Durkee kick),0,7
1,1.0,Saints,Monty Stickles 2 yard pass from Billy Kilmer (Charlie Durkee kick),0,14
2,3.0,Vikings,Bill Brown 2 yard rush (Fred Cox kick),7,14
3,3.0,Vikings,Fred Cox 22 yard field goal,10,14
4,3.0,Vikings,Bobby Bryant 51 yard interception return (Fred Cox kick),17,14
5,4.0,Saints,Charlie Durkee 32 yard field goal,17,17
6,4.0,Saints,Charlie Durkee 42 yard field goal,17,20
