,Quarter,Tm,Detail,DEN,RAI
0,1,Broncos,Steve Watson 16 yard pass from John Elway (Rich Karlis kick),7,0
1,1,Raiders,Marcus Allen 61 yard rush (Chris Bahr kick),7,7
2,2,Broncos,Gerald Willhite 9 yard pass from John Elway (Rich Karlis kick),14,7
3,2,Raiders,Todd Christensen 17 yard pass from Marc Wilson (Chris Bahr kick),14,14
4,2,Broncos,Clarence Kay 6 yard pass from John Elway (Rich Karlis kick),21,14
5,3,Raiders,Trey Junkin 3 yard pass from Marc Wilson (Chris Bahr kick),21,21
6,3,Raiders,Marc Wilson 1 yard rush (Chris Bahr kick),21,28
7,4,Broncos,Steve Sewell 3 yard rush (Rich Karlis kick),28,28
8,OT,Raiders,Chris Bahr 32 yard field goal,28,31
