,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Greg Davis 35 yard field goal,3,0
1,1.0,Bills,Thurman Thomas 4 yard rush (Scott Norwood kick),3,7
2,2.0,Bills,Keith McKeller 39 yard pass from Jim Kelly (Scott Norwood kick),3,14
3,2.0,Bills,Pete Metzelaars 8 yard pass from Jim Kelly (Scott Norwood kick),3,21
4,2.0,Bills,Scott Norwood 36 yard field goal,3,24
5,3.0,Patriots,Cedric Jones 20 yard pass from Doug Flutie (Greg Davis kick),10,24
6,4.0,Bills,Thurman Thomas 74 yard pass from Jim Kelly (Scott Norwood kick),10,31
