,Quarter,Time,Tm,Detail,ATL,BUF
0,1.0,,Falcons,Craig Heyward 1 yard rush (Morten Andersen kick),7,0
1,1.0,,Bills,Bill Brooks 30 yard pass from Jim Kelly (Steve Christie kick),7,7
2,2.0,,Bills,Bill Brooks 15 yard pass from Jim Kelly (Steve Christie kick),7,14
3,2.0,,Falcons,Morten Andersen 50 yard field goal,10,14
4,3.0,,Bills,Steve Christie 23 yard field goal,10,17
5,3.0,,Falcons,Craig Heyward 1 yard rush (Morten Andersen kick),17,17
6,3.0,,Bills,Steve Christie 38 yard field goal,17,20
7,4.0,,Bills,Steve Christie 21 yard field goal,17,23
