,Quarter,Tm,Detail,NYJ,NOR
0,1.0,Saints,Morten Andersen 42 yard field goal,0,3
1,1.0,Saints,Morten Andersen 29 yard field goal,0,6
2,2.0,Jets,James Hasty 34 yard interception return (Pat Leahy kick),7,6
3,2.0,Saints,Lonzell Hill 3 yard pass from Bobby Hebert (Morten Andersen kick),7,13
4,3.0,Saints,Eric Martin 4 yard pass from Bobby Hebert (Morten Andersen kick),7,20
5,4.0,Saints,"Safety, Schreiber holding penalty in end zone",7,22
6,4.0,Saints,Eric Martin 53 yard pass from Bobby Hebert (Morten Andersen kick),7,29
7,4.0,Jets,Erik McMillan 74 yard defensive fumble return (Pat Leahy kick),14,29
