,Quarter,Tm,Detail,PRT,SIS
0,1.0,Stapletons,Al Kanya blocked punt recovery in end zone (Ken Strong kick),0,7
1,2.0,Spartans,Dutch Clark 2 yard rush (Dutch Clark kick),7,7
2,4.0,Spartans,Glenn Presnell 5 yard rush,13,7
3,4.0,Spartans,Elmer Schwartz 25 yard interception return (Glenn Presnell kick),20,7
