,Quarter,Tm,Detail,TAM,MIN
0,2.0,Buccaneers,Calvin Magee 20 yard pass from Steve DeBerg (Donald Igwebuike kick),7,0
1,2.0,Vikings,Chuck Nelson 29 yard field goal,7,3
2,2.0,Vikings,Chuck Nelson 27 yard field goal,7,6
3,3.0,Vikings,Rick Fenney 1 yard rush (Chuck Nelson kick),7,13
4,3.0,Buccaneers,Donald Igwebuike 26 yard field goal,10,13
5,3.0,Vikings,Chuck Nelson 26 yard field goal,10,16
6,4.0,Vikings,Steve Jordan 2 yard pass from Tommy Kramer (Chuck Nelson kick),10,23
7,4.0,Buccaneers,Phil Freeman 64 yard pass from Steve DeBerg (Donald Igwebuike kick),17,23
