,Quarter,Tm,Detail,ATL,NYG
0,2.0,Giants,Terry Jackson 47 yard blocked punt return (Joe Danelo kick),0,7
1,2.0,Giants,Joe Danelo 42 yard field goal,0,10
2,3.0,Falcons,Tim Mazzetti 23 yard field goal,3,10
3,3.0,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),3,17
4,4.0,Giants,Gary Shirk 35 yard pass from Phil Simms (Joe Danelo kick),3,24
