,Quarter,Tm,Detail,PHI,DET
0,1.0,Lions,John Greene 23 yard pass from Fred Enke (Bill Dudley kick),0,7
1,2.0,Eagles,Cliff Patton 22 yard field goal,3,7
2,2.0,Eagles,"Safety, Giannelli blocked punt out of end zone",5,7
3,2.0,Lions,John Greene 8 yard pass from Fred Enke (Bill Dudley kick),5,14
4,4.0,Eagles,Steve Van Buren 3 yard rush (Cliff Patton kick),12,14
5,4.0,Eagles,Steve Van Buren 6 yard rush (Cliff Patton kick),19,14
6,4.0,Eagles,Cliff Patton 32 yard field goal,22,14
