,Quarter,Time,Tm,Detail,SFO,OAK
0,1,8:13,Raiders,Jerry Porter 1 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,1,2:08,49ers,Jose Cortez 20 yard field goal,3,7
2,1,0:34,49ers,Cedrick Wilson 11 yard pass from Jeff Garcia (Jose Cortez kick),10,7
3,2,8:55,Raiders,Sebastian Janikowski 42 yard field goal,10,10
4,2,0:15,Raiders,Sebastian Janikowski 23 yard field goal,10,13
5,3,10:22,49ers,Jose Cortez 22 yard field goal,13,13
6,4,12:57,49ers,Tai Streets 2 yard pass from Jeff Garcia (Jose Cortez kick),20,13
7,4,6:28,Raiders,Charlie Garner 10 yard rush (Sebastian Janikowski kick),20,20
8,OT,6:19,49ers,Jose Cortez 23 yard field goal,23,20
