,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Leroy Kelly 5 yard rush (Lou Groza kick),0,7
1,1.0,Cowboys,Bob Hayes 22 yard pass from Don Meredith (Harold Deters kick),7,7
2,2.0,Cowboys,Dan Reeves 7 yard pass from Don Meredith (Harold Deters kick),14,7
3,3.0,Cowboys,Chuck Howley 28 yard interception return (Harold Deters kick),21,7
4,3.0,Browns,Gary Collins 12 yard pass from Frank Ryan (Lou Groza kick),21,14
