,Quarter,Tm,Detail,DAL,MIN
0,1.0,Vikings,Sammy White 43 yard pass from Steve Dils (Benny Ricardo kick),0,7
1,1.0,Cowboys,Rafael Septien 45 yard field goal,3,7
2,2.0,Vikings,Sammy White 36 yard pass from Steve Dils (Benny Ricardo kick),3,14
3,2.0,Vikings,Benny Ricardo 41 yard field goal,3,17
4,2.0,Cowboys,Danny White 2 yard rush (Rafael Septien kick),10,17
5,2.0,Vikings,Ted Brown 5 yard rush (Benny Ricardo kick),10,24
6,2.0,Cowboys,Rafael Septien 45 yard field goal,13,24
7,3.0,Cowboys,Ron Springs 5 yard rush (Rafael Septien kick),20,24
8,3.0,Cowboys,Ron Fellows 58 yard interception return (Rafael Septien kick),27,24
9,4.0,Cowboys,Drew Pearson 11 yard pass from Danny White (Rafael Septien kick),34,24
10,4.0,Cowboys,Rafael Septien 35 yard field goal,37,24
