,Quarter,Tm,Detail,WAS,CRD
0,1.0,Cardinals,Charley Trippi 24 yard pass from Paul Christman (Pat Harder kick),0,7
1,2.0,Redskins,Dan Sandifer 5 yard pass from Sammy Baugh (Dick Poillon kick),7,7
2,2.0,Cardinals,Charley Trippi 3 yard rush (Pat Harder kick),7,14
3,3.0,Cardinals,Pat Harder 14 yard rush (Pat Harder kick),7,21
4,4.0,Cardinals,Pat Harder 1 yard rush (Pat Harder kick),7,28
5,4.0,Cardinals,Pat Harder 16 yard field goal,7,31
6,4.0,Cardinals,Babe Dimancheff 3 yard rush (Pat Harder kick),7,38
