,Quarter,Time,Tm,Detail,WAS,DEN
0,1.0,11:40,Broncos,Tatum Bell 34 yard rush (Jason Elam kick),0,7
1,1.0,3:47,Redskins,Mike Sellers 2 yard pass from Mark Brunell (Nick Novak kick),7,7
2,2.0,12:07,Broncos,Ashley Lelie 5 yard pass from Jake Plummer (Jason Elam kick),7,14
3,2.0,1:42,Redskins,Nick Novak 34 yard field goal,10,14
4,3.0,6:27,Broncos,Tatum Bell 55 yard rush (Jason Elam kick),10,21
5,4.0,6:25,Redskins,Nick Novak 36 yard field goal,13,21
6,4.0,1:09,Redskins,Chris Cooley 11 yard pass from Mark Brunell (pass failed),19,21
