,Quarter,Tm,Detail,CLE,SFO
0,1.0,Browns,Dub Jones 81 yard pass from Otto Graham (Lou Groza kick),7,0
1,1.0,49ers,Billy Wilson 25 yard pass from Frankie Albert (Gordie Soltau kick),7,7
2,2.0,49ers,Gordie Soltau 42 yard field goal,7,10
3,3.0,49ers,Joe Perry 6 yard rush (Gordie Soltau kick),7,17
4,3.0,Browns,Lou Groza 40 yard field goal,10,17
5,4.0,49ers,Joe Perry 6 yard rush (Gordie Soltau kick),10,24
