,Quarter,Time,Tm,Detail,JAX,DEN
0,1.0,8:28,Broncos,Noah Fant 25 yard pass from Joe Flacco (Brandon McManus kick),0,7
1,1.0,3:16,Jaguars,Josh Lambo 25 yard field goal,3,7
2,2.0,13:43,Broncos,Courtland Sutton 7 yard pass from Joe Flacco (Brandon McManus kick),3,14
3,2.0,4:20,Broncos,Brandon McManus 33 yard field goal,3,17
4,2.0,0:11,Jaguars,Josh Lambo 40 yard field goal,6,17
5,3.0,4:46,Jaguars,Ryquell Armstead 7 yard pass from Gardner Minshew II (Josh Lambo kick),13,17
6,3.0,1:16,Jaguars,James O'Shaughnessy 18 yard pass from Gardner Minshew II (Josh Lambo kick),20,17
7,4.0,2:58,Jaguars,Josh Lambo 34 yard field goal,23,17
8,4.0,1:38,Broncos,Courtland Sutton 8 yard pass from Joe Flacco (Brandon McManus kick),23,24
9,4.0,0:04,Jaguars,Josh Lambo 33 yard field goal,26,24
