,Quarter,Time,Tm,Detail,MIN,NYJ
0,1.0,7:33,Jets,John Hall 38 yard field goal,0,3
1,2.0,2:28,Jets,Laveranues Coles 7 yard pass from Chad Pennington (John Hall kick),0,10
2,3.0,7:07,Jets,Curtis Martin 5 yard rush (John Hall kick),0,17
3,4.0,6:19,Jets,John Hall 37 yard field goal,0,20
4,4.0,3:06,Vikings,Moe Williams 1 yard rush (Gary Anderson kick),7,20
