,Quarter,Time,Tm,Detail,TAM,MIN
0,1.0,2:44,Vikings,Darren Sharper 88 yard interception return (Paul Edinger kick),0,7
1,2.0,14:55,Buccaneers,Alex Smith 23 yard pass from Brian Griese (Matt Bryant kick),7,7
2,2.0,4:38,Buccaneers,Alex Smith 2 yard pass from Brian Griese (Matt Bryant kick),14,7
3,2.0,0:17,Buccaneers,Matt Bryant 41 yard field goal,17,7
4,3.0,3:52,Vikings,Paul Edinger 53 yard field goal,17,10
5,4.0,6:13,Vikings,Paul Edinger 22 yard field goal,17,13
6,4.0,1:23,Buccaneers,Cadillac Williams 71 yard rush (Matt Bryant kick),24,13
