,Quarter,Tm,Detail,DAL,GNB
0,1.0,Packers,Jim Taylor 28 yard rush (Paul Hornung kick),0,7
1,2.0,Packers,Jim Taylor 4 yard rush (Paul Hornung kick),0,14
2,2.0,Packers,Ray Nitschke 43 yard interception return (Paul Hornung kick),0,21
3,2.0,Packers,Paul Hornung 21 yard field goal,0,24
4,2.0,Packers,Paul Hornung 21 yard field goal,0,27
5,3.0,Packers,Jim Taylor 23 yard rush (Paul Hornung kick),0,34
6,4.0,Packers,Paul Hornung 4 yard rush (Paul Hornung kick),0,41
7,4.0,Cowboys,Walt Kowalczyk 14 yard pass from Don Meredith (Fred Cone kick),7,41
