,Quarter,Tm,Detail,TAM,STL
0,1.0,Buccaneers,Mark Carrier 5 yard pass from Steve DeBerg (Donald Igwebuike kick),7,0
1,2.0,Buccaneers,Gerald Carter 3 yard pass from Steve DeBerg (Donald Igwebuike kick),14,0
2,2.0,Cardinals,Jim Gallery 31 yard field goal,14,3
3,3.0,Buccaneers,Jeff Smith 34 yard pass from Steve DeBerg (Donald Igwebuike kick),21,3
4,3.0,Buccaneers,Jeff Smith 3 yard rush (Donald Igwebuike kick),28,3
5,4.0,Cardinals,Robert Awalt 4 yard pass from Neil Lomax (Jim Gallery kick),28,10
6,4.0,Cardinals,Niko Noga 24 yard defensive fumble return (Jim Gallery kick),28,17
7,4.0,Cardinals,J.T. Smith 11 yard pass from Neil Lomax (Jim Gallery kick),28,24
8,4.0,Cardinals,J.T. Smith 17 yard pass from Neil Lomax (Jim Gallery kick),28,31
