,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,,49ers,Terrell Owens 5 yard pass from Steve Young (Gary Anderson kick),0,7
1,1.0,,49ers,Greg Clark 10 yard pass from Steve Young (Gary Anderson kick),0,14
2,2.0,,Rams,Ryan McNeil 75 yard interception return (Jeff Wilkins kick),7,14
3,2.0,,49ers,Gary Anderson 20 yard field goal,7,17
4,2.0,,49ers,Gary Anderson 46 yard field goal,7,20
5,3.0,,49ers,Gary Anderson 28 yard field goal,7,23
6,3.0,,49ers,Terrell Owens 17 yard pass from Steve Young (Gary Anderson kick),7,30
7,3.0,,Rams,Jeff Wilkins 34 yard field goal,10,30
