,Quarter,Tm,Detail,NOR,DET
0,1.0,Lions,J.D. Hill 23 yard pass from Greg Landry (Steve Mike-Mayer kick),0,7
1,2.0,Saints,Chuck Muncie 31 yard rush (Rich Szaro kick),7,7
2,2.0,Saints,Tom Myers special teams fumble recovery in end zone (Rich Szaro kick),14,7
3,2.0,Lions,Steve Mike-Mayer 43 yard field goal,14,10
4,3.0,Lions,Charlie Sanders 20 yard pass from Greg Landry (Steve Mike-Mayer kick),14,17
5,3.0,Lions,Horace King 2 yard rush,14,23
6,4.0,Saints,"Safety, punt snap centered out of end zone",16,23
7,4.0,Saints,Rich Szaro 26 yard field goal,19,23
