,Quarter,Tm,Detail,COL,CRD
0,1.0,Cardinals,Hal Erickson 20 yard pass from Red Dunn (Red Dunn kick),0,7
1,1.0,Cardinals,Gene Francis 15 yard interception return (Red Dunn kick),0,14
