,Quarter,Tm,Detail,GNB,WAS
0,1.0,Packers,Donny Anderson 1 yard rush (Mike Mercer kick),7,0
1,2.0,Packers,Elijah Pitts 1 yard rush (Mike Mercer kick),14,0
2,2.0,Redskins,Pat Richter 2 yard pass from Sonny Jurgensen (Charlie Gogolak kick),14,7
3,3.0,Packers,Donny Anderson 47 yard pass from Zeke Bratkowski (Mike Mercer kick),21,7
4,3.0,Packers,Mike Mercer 29 yard field goal,24,7
5,4.0,Packers,Mike Mercer 27 yard field goal,27,7
