,Quarter,Tm,Detail,BUF,BAL
0,2.0,Colts,Ron Lee 9 yard rush (Toni Linhart kick),0,7
1,2.0,Bills,Bob Chandler 15 yard pass from Joe Ferguson (Neil O'Donoghue kick),7,7
2,2.0,Colts,Toni Linhart 45 yard field goal,7,10
3,4.0,Colts,Don McCauley 15 yard pass from Bert Jones (Toni Linhart kick),7,17
4,4.0,Bills,Curtis Brown 12 yard pass from Joe Ferguson (Neil O'Donoghue kick),14,17
