,Quarter,Tm,Detail,STL,PIT
0,1.0,Steelers,Roy Jefferson 2 yard pass from Dick Shiner (Gene Mingo kick),0,7
1,2.0,Cardinals,Jim Bakken 42 yard field goal,3,7
2,2.0,Cardinals,Willis Crenshaw 26 yard rush (Jim Bakken kick),10,7
3,2.0,Cardinals,Jim Bakken 35 yard field goal,13,7
4,2.0,Cardinals,Willis Crenshaw 4 yard rush (Jim Bakken kick),20,7
5,3.0,Steelers,Roy Jefferson 47 yard pass from Kent Nix (Gene Mingo kick),20,14
6,4.0,Cardinals,John Gilliam 58 yard pass from Jim Hart (Jim Bakken kick),27,14
